name,n_re,n_im,thickness_nm
L001,1.272773,0.000215,58.932940
L002,1.293343,0.000230,63.212795
L003,1.309806,0.000245,64.782755
L004,1.320815,0.000260,63.563480
L005,1.325757,0.000275,60.481717
L006,1.324845,0.000290,57.136021
L007,1.319082,0.000305,55.220148
L008,1.310127,0.000320,55.912111
L009,1.300072,0.000335,59.449267
L010,1.291157,0.000350,65.042700
L011,1.285470,0.000365,71.161787
L012,1.284659,0.000380,76.086299
L013,1.289714,0.000395,78.526896
L014,1.300831,0.000410,78.090195
L015,1.317384,0.000425,75.420666
L016,1.338014,0.000440,71.968169
L017,1.360807,0.000455,69.464984
L018,1.383558,0.000470,69.300970
L019,1.404069,0.000485,72.022238
L020,1.420442,0.000500,77.134166
L021,1.431341,0.000515,83.279811
L022,1.436172,0.000530,88.729366
L023,1.435159,0.000545,92.004105
L024,1.429320,0.000560,92.409766
L025,1.420325,0.000575,90.286977
L026,1.410271,0.000590,86.888387
L027,1.401398,0.000605,83.926830
L028,1.395787,0.000620,82.957502
L029,1.395078,0.000635,84.816995
L030,1.400245,0.000650,89.321531
L031,1.411470,0.000665,95.333258
L032,1.428113,0.000680,101.170672
L033,1.448801,0.000695,105.215145
L034,1.471613,0.000710,106.494769
L035,1.494343,0.000725,105.034931
L036,1.514793,0.000740,101.849148
L037,1.531075,0.000755,98.573497
L038,1.541866,0.000770,96.876468
L039,1.546584,0.000785,97.857136
L040,1.545471,0.000800,101.648721
L041,1.539557,0.000815,107.370534
L042,1.530523,0.000830,113.445644
L043,1.520470,0.000845,118.169685
L044,1.511639,0.000860,120.325628
L045,1.506106,0.000875,119.622765
L046,1.505498,0.000890,116.801573
L047,1.510778,0.000905,113.366617
L048,1.522111,0.000920,111.043849
L049,1.538843,0.000935,111.158052
L050,1.559588,0.000950,114.154982
L051,1.582420,0.000965,119.440585
L052,1.605127,0.000980,125.595274
L053,1.625516,0.000995,130.885978
L054,1.641707,0.001010,133.891269
L055,1.652389,0.001025,134.014078
L056,1.656995,0.001040,131.697057
L057,1.655782,0.001055,128.262915
L058,1.649794,0.001070,125.437312
L059,1.640720,0.001085,124.726403
L060,1.630670,0.001100,126.873567
L061,1.621882,0.001115,131.591264
L062,1.616426,0.001130,137.664751
L063,1.615921,0.001145,143.390250
L064,1.621313,0.001160,147.189499
L065,1.632754,0.001175,148.179045
L066,1.649574,0.001190,146.488905
L067,1.670377,0.001205,143.215669
L068,1.693226,0.001220,140.026958
L069,1.715910,0.001235,138.559902
L070,1.736237,0.001250,139.830624
L071,1.752337,0.001265,143.867721
L072,1.762909,0.001280,149.701945
L073,1.767403,0.001295,155.715820
L074,1.766091,0.001310,160.227067
L075,1.760029,0.001325,162.095412
L076,1.750917,0.001340,161.133886
L077,1.740870,0.001355,158.176265
L078,1.732126,0.001370,154.776326
L079,1.726749,0.001385,152.647390
L080,1.726345,0.001400,153.044323
L081,1.731850,0.001415,156.310901
L082,1.743399,0.001430,161.755805
L083,1.760307,0.001445,167.901989
L084,1.781166,0.001460,173.019448
L085,1.804033,0.001475,175.749247
L086,1.826693,0.001490,175.593685
L087,1.846957,0.001505,173.095826
L088,1.862965,0.001520,169.643606
L089,1.873428,0.001535,166.969207
L090,1.877810,0.001550,166.524244
L091,1.876398,0.001565,168.956168
L092,1.870263,0.001580,173.874724
L093,1.861114,0.001595,179.992721
L094,1.851071,0.001610,185.590323
L095,1.842371,0.001625,189.135402
L096,1.837072,0.001640,189.836186
L097,1.836772,0.001655,187.926849
L098,1.842390,0.001670,184.583047
L099,1.854045,0.001685,181.497852
L100,1.871041,0.001700,180.271058
